stdName,CityFlag,motherName,enName_full,cnName_full,enName,val1,val2
江苏,FALSE,China,jiangsusheng,江苏省,jiangsu,10,50
北京,FALSE,China,beijingshi,北京市,beijing,15,40
上海,FALSE,China,shanghaishi,上海市,shanghai,20,30
黑龙江,FALSE,China,heilongjiangsheng,黑龙江省,heilongjiang,30,20
陕西,FALSE,China,shannxisheng,陕西省,shannxi,40,10
沧州,TRUE,河北,NA,NA,NA,10,50
保定,TRUE,河北,NA,NA,NA,15,40
石家庄,TRUE,河北,NA,NA,NA,20,30
邢台,TRUE,河北,NA,NA,NA,30,20
沧州,TRUE,河北,NA,NA,NA,40,10
保定,TRUE,河北,NA,NA,NA,10,50
邢台,TRUE,河北,NA,NA,NA,15,40
邯郸,TRUE,河北,NA,NA,NA,20,30
沧州,TRUE,河北,NA,NA,NA,30,20
廊坊,TRUE,河北,NA,NA,NA,40,10
沧州,TRUE,河北,NA,NA,NA,10,50
保定,TRUE,河北,NA,NA,NA,15,40
石家庄,TRUE,河北,NA,NA,NA,20,30
唐山,TRUE,河北,NA,NA,NA,30,20
石家庄,TRUE,河北,NA,NA,NA,40,10
廊坊,TRUE,河北,NA,NA,NA,10,50
保定,TRUE,河北,NA,NA,NA,15,40
衡水,TRUE,河北,NA,NA,NA,20,30
衡水,TRUE,河北,NA,NA,NA,30,20
唐山,TRUE,河北,NA,NA,NA,40,10
临汾,TRUE,山西,NA,NA,NA,10,50
太原,TRUE,山西,NA,NA,NA,15,40
临汾,TRUE,山西,NA,NA,NA,20,30
吕梁,TRUE,山西,NA,NA,NA,30,20
晋中,TRUE,山西,NA,NA,NA,40,10
晋城,TRUE,山西,NA,NA,NA,10,50
忻州,TRUE,山西,NA,NA,NA,15,40
运城,TRUE,山西,NA,NA,NA,20,30
运城,TRUE,山西,NA,NA,NA,30,20
长治,TRUE,山西,NA,NA,NA,40,10
吕梁,TRUE,山西,NA,NA,NA,10,50
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,15,40
锡林郭勒,TRUE,内蒙古,NA,NA,NA,20,30
兴安,TRUE,内蒙古,NA,NA,NA,30,20
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,40,10
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,10,50
锡林郭勒,TRUE,内蒙古,NA,NA,NA,15,40
通辽,TRUE,内蒙古,NA,NA,NA,20,30
乌兰察布,TRUE,内蒙古,NA,NA,NA,30,20
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,40,10
呼伦贝尔,TRUE,内蒙古,NA,NA,NA,10,50
兴安,TRUE,内蒙古,NA,NA,NA,15,40
朝阳,TRUE,辽宁,NA,NA,NA,20,30
鞍山,TRUE,辽宁,NA,NA,NA,30,20
大连,TRUE,辽宁,NA,NA,NA,40,10
铁岭,TRUE,辽宁,NA,NA,NA,10,50
葫芦岛,TRUE,辽宁,NA,NA,NA,15,40
铁岭,TRUE,辽宁,NA,NA,NA,20,30
大连,TRUE,辽宁,NA,NA,NA,30,20
朝阳,TRUE,辽宁,NA,NA,NA,40,10
大连,TRUE,辽宁,NA,NA,NA,10,50
营口,TRUE,辽宁,NA,NA,NA,15,40
营口,TRUE,辽宁,NA,NA,NA,20,30
沈阳,TRUE,辽宁,NA,NA,NA,30,20
丹东,TRUE,辽宁,NA,NA,NA,40,10
锦州,TRUE,辽宁,NA,NA,NA,10,50
丹东,TRUE,辽宁,NA,NA,NA,15,40
锦州,TRUE,辽宁,NA,NA,NA,20,30
辽阳,TRUE,辽宁,NA,NA,NA,30,20
延边,TRUE,吉林,NA,NA,NA,40,10
延边,TRUE,吉林,NA,NA,NA,10,50
延边,TRUE,吉林,NA,NA,NA,15,40
四平,TRUE,吉林,NA,NA,NA,20,30
通化,TRUE,吉林,NA,NA,NA,30,20
白城,TRUE,吉林,NA,NA,NA,40,10
通化,TRUE,吉林,NA,NA,NA,10,50
延边,TRUE,吉林,NA,NA,NA,15,40
延边,TRUE,吉林,NA,NA,NA,20,30
吉林,TRUE,吉林,NA,NA,NA,30,20
白城,TRUE,吉林,NA,NA,NA,40,10
吉林,TRUE,吉林,NA,NA,NA,10,50
长春,TRUE,吉林,NA,NA,NA,15,40
吉林,TRUE,吉林,NA,NA,NA,20,30
延边,TRUE,吉林,NA,NA,NA,30,20
白山,TRUE,吉林,NA,NA,NA,40,10
长春,TRUE,吉林,NA,NA,NA,10,50
吉林,TRUE,吉林,NA,NA,NA,15,40
四平,TRUE,吉林,NA,NA,NA,20,30
松原,TRUE,吉林,NA,NA,NA,30,20
牡丹江,TRUE,黑龙江,NA,NA,NA,40,10
黑河,TRUE,黑龙江,NA,NA,NA,10,50
黑河,TRUE,黑龙江,NA,NA,NA,15,40
绥化,TRUE,黑龙江,NA,NA,NA,20,30
绥化,TRUE,黑龙江,NA,NA,NA,30,20
佳木斯,TRUE,黑龙江,NA,NA,NA,40,10
佳木斯,TRUE,黑龙江,NA,NA,NA,10,50
伊春,TRUE,黑龙江,NA,NA,NA,15,40
哈尔滨,TRUE,黑龙江,NA,NA,NA,20,30
鸡西,TRUE,黑龙江,NA,NA,NA,30,20
绥化,TRUE,黑龙江,NA,NA,NA,40,10
牡丹江,TRUE,黑龙江,NA,NA,NA,10,50
齐齐哈尔,TRUE,黑龙江,NA,NA,NA,15,40
牡丹江,TRUE,黑龙江,NA,NA,NA,20,30
哈尔滨,TRUE,黑龙江,NA,NA,NA,30,20
牡丹江,TRUE,黑龙江,NA,NA,NA,40,10
鸡西,TRUE,黑龙江,NA,NA,NA,10,50
苏州,TRUE,江苏,NA,NA,NA,15,40
扬州,TRUE,江苏,NA,NA,NA,20,30
苏州,TRUE,江苏,NA,NA,NA,30,20
无锡,TRUE,江苏,NA,NA,NA,40,10
镇江,TRUE,江苏,NA,NA,NA,10,50
盐城,TRUE,江苏,NA,NA,NA,15,40
泰州,TRUE,江苏,NA,NA,NA,20,30
无锡,TRUE,江苏,NA,NA,NA,30,20
苏州,TRUE,江苏,NA,NA,NA,40,10
南通,TRUE,江苏,NA,NA,NA,10,50
徐州,TRUE,江苏,NA,NA,NA,15,40
常州,TRUE,江苏,NA,NA,NA,20,30
南通,TRUE,江苏,NA,NA,NA,30,20
扬州,TRUE,江苏,NA,NA,NA,40,10
徐州,TRUE,江苏,NA,NA,NA,10,50
泰州,TRUE,江苏,NA,NA,NA,15,40
苏州,TRUE,江苏,NA,NA,NA,20,30
泰州,TRUE,江苏,NA,NA,NA,30,20
南通,TRUE,江苏,NA,NA,NA,40,10
镇江,TRUE,江苏,NA,NA,NA,10,50
镇江,TRUE,江苏,NA,NA,NA,15,40
金华,TRUE,浙江,NA,NA,NA,20,30
宁波,TRUE,浙江,NA,NA,NA,30,20
台州,TRUE,浙江,NA,NA,NA,40,10
嘉兴,TRUE,浙江,NA,NA,NA,10,50
温州,TRUE,浙江,NA,NA,NA,15,40
衢州,TRUE,浙江,NA,NA,NA,20,30
金华,TRUE,浙江,NA,NA,NA,30,20
金华,TRUE,浙江,NA,NA,NA,40,10
宁波,TRUE,浙江,NA,NA,NA,10,50
宁波,TRUE,浙江,NA,NA,NA,15,40
绍兴,TRUE,浙江,NA,NA,NA,20,30
丽水,TRUE,浙江,NA,NA,NA,30,20
嘉兴,TRUE,浙江,NA,NA,NA,40,10
杭州,TRUE,浙江,NA,NA,NA,10,50
金华,TRUE,浙江,NA,NA,NA,15,40
嘉兴,TRUE,浙江,NA,NA,NA,20,30
温州,TRUE,浙江,NA,NA,NA,30,20
台州,TRUE,浙江,NA,NA,NA,40,10
绍兴,TRUE,浙江,NA,NA,NA,10,50
杭州,TRUE,浙江,NA,NA,NA,15,40
阜阳,TRUE,安徽,NA,NA,NA,20,30
滁州,TRUE,安徽,NA,NA,NA,30,20
滁州,TRUE,安徽,NA,NA,NA,40,10
安庆,TRUE,安徽,NA,NA,NA,10,50
宣城,TRUE,安徽,NA,NA,NA,15,40
合肥,TRUE,安徽,NA,NA,NA,20,30
南平,TRUE,福建,NA,NA,NA,30,20
三明,TRUE,福建,NA,NA,NA,40,10
泉州,TRUE,福建,NA,NA,NA,10,50
南平,TRUE,福建,NA,NA,NA,15,40
宁德,TRUE,福建,NA,NA,NA,20,30
龙岩,TRUE,福建,NA,NA,NA,30,20
福州,TRUE,福建,NA,NA,NA,40,10
泉州,TRUE,福建,NA,NA,NA,10,50
南平,TRUE,福建,NA,NA,NA,15,40
漳州,TRUE,福建,NA,NA,NA,20,30
泉州,TRUE,福建,NA,NA,NA,30,20
福州,TRUE,福建,NA,NA,NA,40,10
宁德,TRUE,福建,NA,NA,NA,10,50
吉安,TRUE,江西,NA,NA,NA,15,40
宜春,TRUE,江西,NA,NA,NA,20,30
宜春,TRUE,江西,NA,NA,NA,30,20
九江,TRUE,江西,NA,NA,NA,40,10
上饶,TRUE,江西,NA,NA,NA,10,50
景德镇,TRUE,江西,NA,NA,NA,15,40
宜春,TRUE,江西,NA,NA,NA,20,30
赣州,TRUE,江西,NA,NA,NA,30,20
鹰潭,TRUE,江西,NA,NA,NA,40,10
九江,TRUE,江西,NA,NA,NA,10,50
泰安,TRUE,山东,NA,NA,NA,15,40
聊城,TRUE,山东,NA,NA,NA,20,30
潍坊,TRUE,山东,NA,NA,NA,30,20
济宁,TRUE,山东,NA,NA,NA,40,10
烟台,TRUE,山东,NA,NA,NA,10,50
青岛,TRUE,山东,NA,NA,NA,15,40
烟台,TRUE,山东,NA,NA,NA,20,30
潍坊,TRUE,山东,NA,NA,NA,30,20
烟台,TRUE,山东,NA,NA,NA,40,10
枣庄,TRUE,山东,NA,NA,NA,10,50
德州,TRUE,山东,NA,NA,NA,15,40
威海,TRUE,山东,NA,NA,NA,20,30
青岛,TRUE,山东,NA,NA,NA,30,20
青岛,TRUE,山东,NA,NA,NA,40,10
青岛,TRUE,山东,NA,NA,NA,10,50
烟台,TRUE,山东,NA,NA,NA,15,40
烟台,TRUE,山东,NA,NA,NA,20,30
泰安,TRUE,山东,NA,NA,NA,30,20
济南,TRUE,山东,NA,NA,NA,40,10
济宁,TRUE,山东,NA,NA,NA,10,50
潍坊,TRUE,山东,NA,NA,NA,15,40
威海,TRUE,山东,NA,NA,NA,20,30
德州,TRUE,山东,NA,NA,NA,30,20
潍坊,TRUE,山东,NA,NA,NA,40,10
潍坊,TRUE,山东,NA,NA,NA,10,50
潍坊,TRUE,山东,NA,NA,NA,15,40
烟台,TRUE,山东,NA,NA,NA,20,30
烟台,TRUE,山东,NA,NA,NA,30,20
三门峡,TRUE,河南,NA,NA,NA,40,10
平顶山,TRUE,河南,NA,NA,NA,10,50
许昌,TRUE,河南,NA,NA,NA,15,40
河南,TRUE,河南,NA,NA,NA,20,30
新乡,TRUE,河南,NA,NA,NA,30,20
新乡,TRUE,河南,NA,NA,NA,40,10
南阳,TRUE,河南,NA,NA,NA,10,50
焦作,TRUE,河南,NA,NA,NA,15,40
平顶山,TRUE,河南,NA,NA,NA,20,30
郑州,TRUE,河南,NA,NA,NA,30,20
三门峡,TRUE,河南,NA,NA,NA,40,10
许昌,TRUE,河南,NA,NA,NA,10,50
洛阳,TRUE,河南,NA,NA,NA,15,40
周口,TRUE,河南,NA,NA,NA,20,30
安阳,TRUE,河南,NA,NA,NA,30,20
郑州,TRUE,河南,NA,NA,NA,40,10
郑州,TRUE,河南,NA,NA,NA,10,50
郑州,TRUE,河南,NA,NA,NA,15,40
郑州,TRUE,河南,NA,NA,NA,20,30
焦作,TRUE,河南,NA,NA,NA,30,20
商丘,TRUE,河南,NA,NA,NA,40,10
襄阳,TRUE,湖北,NA,NA,NA,10,50
恩施,TRUE,湖北,NA,NA,NA,15,40
十堰,TRUE,湖北,NA,NA,NA,20,30
孝感,TRUE,湖北,NA,NA,NA,30,20
咸宁,TRUE,湖北,NA,NA,NA,40,10
武汉,TRUE,湖北,NA,NA,NA,10,50
荆州,TRUE,湖北,NA,NA,NA,15,40
黄冈,TRUE,湖北,NA,NA,NA,20,30
恩施,TRUE,湖北,NA,NA,NA,30,20
荆州,TRUE,湖北,NA,NA,NA,40,10
天门,TRUE,湖北,NA,NA,NA,10,50
孝感,TRUE,湖北,NA,NA,NA,15,40
黄冈,TRUE,湖北,NA,NA,NA,20,30
宜昌,TRUE,湖北,NA,NA,NA,30,20
襄阳,TRUE,湖北,NA,NA,NA,40,10
潜江,TRUE,湖北,NA,NA,NA,10,50
随州,TRUE,湖北,NA,NA,NA,15,40
宜昌,TRUE,湖北,NA,NA,NA,20,30
荆门,TRUE,湖北,NA,NA,NA,30,20
黄石,TRUE,湖北,NA,NA,NA,40,10
襄阳,TRUE,湖北,NA,NA,NA,10,50
荆州,TRUE,湖北,NA,NA,NA,15,40
宜昌,TRUE,湖北,NA,NA,NA,20,30
孝感,TRUE,湖北,NA,NA,NA,30,20
怀化,TRUE,湖南,NA,NA,NA,40,10
常德,TRUE,湖南,NA,NA,NA,10,50
湘西,TRUE,湖南,NA,NA,NA,15,40
娄底,TRUE,湖南,NA,NA,NA,20,30
郴州,TRUE,湖南,NA,NA,NA,30,20
株洲,TRUE,湖南,NA,NA,NA,40,10
湘潭,TRUE,湖南,NA,NA,NA,10,50
衡阳,TRUE,湖南,NA,NA,NA,15,40
娄底,TRUE,湖南,NA,NA,NA,20,30
岳阳,TRUE,湖南,NA,NA,NA,30,20
益阳,TRUE,湖南,NA,NA,NA,40,10
湘潭,TRUE,湖南,NA,NA,NA,10,50
岳阳,TRUE,湖南,NA,NA,NA,15,40
长沙,TRUE,湖南,NA,NA,NA,20,30
邵阳,TRUE,湖南,NA,NA,NA,30,20
衡阳,TRUE,湖南,NA,NA,NA,40,10
江门,TRUE,广东,NA,NA,NA,10,50
江门,TRUE,广东,NA,NA,NA,15,40
揭阳,TRUE,广东,NA,NA,NA,20,30
云浮,TRUE,广东,NA,NA,NA,30,20
茂名,TRUE,广东,NA,NA,NA,40,10
江门,TRUE,广东,NA,NA,NA,10,50
肇庆,TRUE,广东,NA,NA,NA,15,40
湛江,TRUE,广东,NA,NA,NA,20,30
清远,TRUE,广东,NA,NA,NA,30,20
江门,TRUE,广东,NA,NA,NA,40,10
清远,TRUE,广东,NA,NA,NA,10,50
湛江,TRUE,广东,NA,NA,NA,15,40
韶关,TRUE,广东,NA,NA,NA,20,30
阳江,TRUE,广东,NA,NA,NA,30,20
湛江,TRUE,广东,NA,NA,NA,40,10
梅州,TRUE,广东,NA,NA,NA,10,50
茂名,TRUE,广东,NA,NA,NA,15,40
汕尾,TRUE,广东,NA,NA,NA,20,30
茂名,TRUE,广东,NA,NA,NA,30,20
韶关,TRUE,广东,NA,NA,NA,40,10
崇左,TRUE,广西,NA,NA,NA,10,50
来宾,TRUE,广西,NA,NA,NA,15,40
河池,TRUE,广西,NA,NA,NA,20,30
玉林,TRUE,广西,NA,NA,NA,30,20
贵港,TRUE,广西,NA,NA,NA,40,10
梧州,TRUE,广西,NA,NA,NA,10,50
防城港,TRUE,广西,NA,NA,NA,15,40
百色,TRUE,广西,NA,NA,NA,20,30
五指山,TRUE,海南,NA,NA,NA,30,20
琼海,TRUE,海南,NA,NA,NA,40,10
文昌,TRUE,海南,NA,NA,NA,10,50
万宁,TRUE,海南,NA,NA,NA,15,40
东方,TRUE,海南,NA,NA,NA,20,30
凉山,TRUE,四川,NA,NA,NA,30,20
广安,TRUE,四川,NA,NA,NA,40,10
绵阳,TRUE,四川,NA,NA,NA,10,50
德阳,TRUE,四川,NA,NA,NA,15,40
成都,TRUE,四川,NA,NA,NA,20,30
乐山,TRUE,四川,NA,NA,NA,30,20
南充,TRUE,四川,NA,NA,NA,40,10
达州,TRUE,四川,NA,NA,NA,10,50
成都,TRUE,四川,NA,NA,NA,15,40
资阳,TRUE,四川,NA,NA,NA,20,30
成都,TRUE,四川,NA,NA,NA,30,20
成都,TRUE,四川,NA,NA,NA,40,10
德阳,TRUE,四川,NA,NA,NA,10,50
德阳,TRUE,四川,NA,NA,NA,15,40
甘孜,TRUE,四川,NA,NA,NA,20,30
黔南,TRUE,贵州,NA,NA,NA,30,20
黔东南,TRUE,贵州,NA,NA,NA,40,10
黔西南,TRUE,贵州,NA,NA,NA,10,50
遵义,TRUE,贵州,NA,NA,NA,15,40
贵阳,TRUE,贵州,NA,NA,NA,20,30
遵义,TRUE,贵州,NA,NA,NA,30,20
黔南,TRUE,贵州,NA,NA,NA,40,10
红河,TRUE,云南,NA,NA,NA,10,50
红河,TRUE,云南,NA,NA,NA,15,40
大理,TRUE,云南,NA,NA,NA,20,30
楚雄,TRUE,云南,NA,NA,NA,30,20
德宏,TRUE,云南,NA,NA,NA,40,10
西双版纳,TRUE,云南,NA,NA,NA,10,50
曲靖,TRUE,云南,NA,NA,NA,15,40
昆明,TRUE,云南,NA,NA,NA,20,30
德宏,TRUE,云南,NA,NA,NA,30,20
红河,TRUE,云南,NA,NA,NA,40,10
文山,TRUE,云南,NA,NA,NA,10,50
红河,TRUE,云南,NA,NA,NA,15,40
迪庆,TRUE,云南,NA,NA,NA,20,30
保山,TRUE,云南,NA,NA,NA,30,20
渭南,TRUE,陕西,NA,NA,NA,40,10
渭南,TRUE,陕西,NA,NA,NA,10,50
咸阳,TRUE,陕西,NA,NA,NA,15,40
酒泉,TRUE,甘肃,NA,NA,NA,20,30
临夏,TRUE,甘肃,NA,NA,NA,30,20
酒泉,TRUE,甘肃,NA,NA,NA,40,10
甘南,TRUE,甘肃,NA,NA,NA,10,50
海西,TRUE,青海,NA,NA,NA,15,40
海西,TRUE,青海,NA,NA,NA,20,30
玉树,TRUE,青海,NA,NA,NA,30,20
吴忠,TRUE,宁夏,NA,NA,NA,40,10
银川,TRUE,宁夏,NA,NA,NA,10,50
伊犁,TRUE,新疆,NA,NA,NA,15,40
喀什,TRUE,新疆,NA,NA,NA,20,30
伊犁,TRUE,新疆,NA,NA,NA,30,20
新疆,TRUE,新疆,NA,NA,NA,40,10
哈密,TRUE,新疆,NA,NA,NA,10,50
巴音,TRUE,新疆,NA,NA,NA,15,40
昌吉,TRUE,新疆,NA,NA,NA,20,30
阿克苏,TRUE,新疆,NA,NA,NA,30,20
和田,TRUE,新疆,NA,NA,NA,40,10
塔城,TRUE,新疆,NA,NA,NA,10,50
阿勒泰,TRUE,新疆,NA,NA,NA,15,40
博尔塔拉,TRUE,新疆,NA,NA,NA,20,30
克孜勒苏,TRUE,新疆,NA,NA,NA,30,20
昌吉,TRUE,新疆,NA,NA,NA,40,10
塔城,TRUE,新疆,NA,NA,NA,10,50
阿拉尔,TRUE,新疆,NA,NA,NA,15,40
图木舒克,TRUE,新疆,NA,NA,NA,20,30
五家渠,TRUE,新疆,NA,NA,NA,30,20
北屯,TRUE,新疆,NA,NA,NA,40,10
博尔塔拉,TRUE,新疆,NA,NA,NA,10,50
铁门关,TRUE,新疆,NA,NA,NA,15,40
双河,TRUE,新疆,NA,NA,NA,20,30
伊犁,TRUE,新疆,NA,NA,NA,30,20
可克达拉,TRUE,新疆,NA,NA,NA,40,10
